id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
489,"New Dimension Group, LLC",NC,Healthcare Provider,1275,11/25/2015,Loss,Other Portable Electronic Device,No,"The covered entity (“CE”), New Dimensions Group, LLC, discovered that on September 29, 2015, three unencrypted flash drives were reported missing.  The breach affected 1,200 individuals, and the protected health information (PHI) that was potentially exposed included names, dates of birth, social security numbers, driver’s license numbers, and clinical information.  The CE provided timely breach notification to HHS, to affected individuals, and on its website.  Media notification was issued to the Duplin Times and the Star News.  The CE provided free credit monitoring for the affected individuals for 12 months.  In response to the breach, the CE banned the use of flash drives, developed policies and procedures for media and device controls, and updated its policies and procedures to protect patient PHI.  The CE purchased new software to encrypt emails containing PHI and trained employees on its policies and procedures. OCR obtained assurances that the CE implemented the corrective actions listed above.  "
490,"Alaska Orthopedic Specialists, Inc.",AK,Healthcare Provider,553,11/19/2015,Theft,Email,No,"A workforce member of the covered entity (CE), Alaska Orthopedic Specialists, impermissibly sent copies of electronic protected health information (ePHI) to a personal email account between December 18, 2014 and April 14, 2015, which potentially affected approximately 553 individuals. The ePHI included demographic, financial and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE established a website, a related call center, and offered identity-theft protection at no charge.  After discovering the breach, the CE hired a digital services consultant to investigate the matter and audit the company’s computer server and email to identify the scope and content of the breach.  The CE issued a “cease and desist” letter to the former employee, demanding that the former employee take steps to secure the information and return it.  The CE securely stored its remaining paper records and the computer server containing ePHI.  OCR verified that business operations for the sole practitioner were officially dissolved on December 31, 2016.
"
491,Cigna Home Delivery Pharmacy,CT,Healthcare Provider,592,11/23/2015,Unauthorized Access/Disclosure,Paper/Films,No,"A printing error affected 592 individuals, living in 13 states:  The covered entity (CE) printed two customer letters on one sheet of paper (front and back) during a mailing to customers.  The protected health information involved in the breach included names, mailing addresses, and medication information.  The CE provided breach notification to HHS and affected individuals and provided free credit monitoring services.  To prevent a printing error from occurring in the future, the CE implemented a new letter creation procedure. OCR obtained assurances that the CE implemented the corrective actions noted above.
"
492,"Alaska Orthopedic Specialists, Inc.",AK,Healthcare Provider,553,11/19/2015,Theft,Email,No,"A workforce member of the covered entity (CE), Alaska Orthopedic Specialists, impermissibly sent copies of electronic protected health information (ePHI) to a personal email account between December 18, 2014 and April 14, 2015, which potentially affected approximately 553 individuals. The ePHI included demographic, financial and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE established a website, a related call center, and offered identity-theft protection at no charge.  After discovering the breach, the CE hired a digital services consultant to investigate the matter and audit the company’s computer server and email to identify the scope and content of the breach.  The CE issued a “cease and desist” letter to the former employee, demanding that the former employee take steps to secure the information and return it.  The CE securely stored its remaining paper records and the computer server containing ePHI.  OCR verified that business operations for the sole practitioner were officially dissolved on December 31, 2016.
"
493,"UC Health, LLC",OH,Healthcare Provider,1064,11/14/2015,Unauthorized Access/Disclosure,Email,No,
494,"Midlands Orthopaedics, P.A. ",SC,Healthcare Provider,3902,11/13/2015,Hacking/IT Incident,Network Server,Yes,"On September 15, 2015, the covered entity (CE), Arcis Healthcare, LLC d/b/a Midlands Orthopaedics, discovered that an unknown party identified as “Slyhacker” accessed a patient database. The database contained the names, addresses, and phone numbers of 3,902 individuals. The database was housed on a third party internet site by the CE’s business associate, PlanetHosting.com, The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE removed the database from the internet-based computer server, hired a digital forensics firm to investigate, and implemented a plan for securing this and other databases containing protected health information. OCR obtained assurances that the CE implemented the corrective actions listed above. "
495,"Escambia County Alabama Community Hospitals, Inc. D/B/A Atmore Community Hospital",AL,Healthcare Provider,1090,01/12/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Escambia County Alabama Community Hospitals, Inc. dba Atmore Community Hospital, discovered that a unit secretary viewed medical records of 1,090 patients from the emergency department, outside the scope of her job duties. The records included protected health information, such as patients’ names and clinical information. The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE sanctioned the involved employee, reviewed its record audit procedures, and implemented an additional access control mechanism for patient records from the emergency department. In addition, the CE retrained all employees. OCR obtained assurances that the CE implemented the corrective actions listed above.  In this case, the sanctions included termination of employment."
496,Verity Medical Foundation,CA,Healthcare Provider,10164,01/11/2017,Hacking/IT Incident,Network Server,No,"Verity Medical Foundation, the covered entity (CE), reported a breach that occurred when one of its websites, www.sanjosemed.com, was compromised and was being used to distribute malware to website visitors.  The breach affected approximately 9,353 individuals who were patients of the San Jose Medical Group, which joined the CE in 2012.  The types of protected health information (PHI) involved included names, addresses, dates of birth, medical record numbers, and the last 4 digits of credit card numbers.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Upon discovery of the breach, the CE immediately disabled the website to prevent incidents such as this occurring in the future.  OCR obtained assurances that the CE implemented the corrective actions listed above."
497,Office of Dr. David Elbaum,CA,Healthcare Provider,500,01/09/2017,Theft,Paper/Films,No,"On November 10, 2016, the Office of Dr. David Elbaum, the covered entity (CE), discovered that paper copies of patients' protected health information (PHI) had been stolen from a third party storage facility, a business associate (BA).  The exact date of the theft is not known. The breach affected approximately 500 individuals and included clinical and demographic information. The CE provided breach notification to HHS, affected individuals, and the media.  It also established a toll-free call center and offered free credit monitoring services to the affected individuals. The CE obtained assurances from the BA that it implemented additional physical safeguards at the facility following the breach. OCR obtained assurances that the CE implemented the corrective actions described above. "
498,Complete Wellness,MD,Healthcare Provider,600,01/06/2017,Loss,Other Portable Electronic Device,No,"An employee lost a mobile computer drive resulting in a breach of protected health information (PHI) affecting 600 individuals. The types of PHI involved in the breach included names, addresses, dates of birth, social security numbers, and clinical information. Following the breach, the CE sanctioned the responsible employee, retrained employees about security awareness and implemented administrative and technical safeguards, including malware protection and encryption. As a result of OCR’s investigation, the CE completed a thorough risk analysis and developed a risk management plan.  "
499,"American Urgent Care Center, PSC",KY,Healthcare Provider,822,01/05/2017,Theft,Other,No,"The covered entity (CE), American Urgent Care Center, PSC, discovered that, upon her resignation, a former employee took an x-ray logbook on October 28, 2016. The log book contained the names and treatment dates of 822 individuals. Following the breach, the CE revised its policies and re-trained staff, including providers and management. The CE also revised its procedures to eliminate the use of the paper x-ray log book. As a result of technical assistance from OCR, the CE provided breach notification to HHS, to affected individuals, and in the local newspaper.  OCR obtained assurances that the CE implemented the corrective actions listed above."
500,Community Health Plan of Washington,WA,Health Plan,1375,01/03/2017,Hacking/IT Incident,Network Server,No,"On January 3, 2017, the covered entity (CE) reported that on November 3, 2016, Summit Reinsurance, a business associate (BA), indicated it discovered ransomware on one of its computer servers. The breach affected approximately 1,375 individuals’ protected health information (PHI) and included patients’ names, addresses, dates of birth, provider names, and health insurance claim information.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided free credit monitoring.  The CE revised its policies and procedures related to the nature of the breach.  OCR provided substantial technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted above."
501,MetroPlus Health Plan,NY,Health Plan,808,01/03/2017,Unauthorized Access/Disclosure,Other,No,
502,"Bryan Myers, MD PC, Ashley DeWitt, DO PC, Michael Nobles, MD PC",TN,Healthcare Provider,13150,12/30/2016,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Premier Women’s Health Center, discovered on November 2, 2016, that its EHR server had been infected with malware, affecting the electronic protected health information (ePHI) of 13,150 individuals.  Information stored on the affected server included names, addresses, dates of birth, social security numbers, diagnoses/conditions, lab results, medications and other treatment information.  The CE was able to disconnect the server from the network before any data was exfiltrated.  The CE provided breach notification to HHS, to affected individuals, and to the media.  OCR provided technical assistance to the CE regarding media notice and the performance of risk analyses.  In response to the breach, the CE improved technical safeguards on its information system including upgrading firmware and software.  The CE also implemented all new HIPAA policies and re-trained its workforce in May 2017.  It initiated an enterprise-wide risk analysis through the aid of legal counsel.  OCR obtained assurances that the CE implemented the corrective actions listed above. "
503,PathGroup,TN,Health Plan,1443,12/29/2016,Unauthorized Access/Disclosure,Other,No,
504,PrimeWest Health,MN,Health Plan,2441,12/29/2016,Hacking/IT Incident,Network Server,No,"On November 15, 2016, a business associate (BA), Summit Reinsurance, notified the covered entity (CE), PrimeWest Health, of a data security incident involving the CE’s data. The breach affected approximately 2,441 individuals. The protected health information included patients’ names, addresses, date of birth, and social security numbers. The BA mitigated the breach by taking the computer server offline and by confirming that the ransomware was limited to a specific server.  The BA also assessed and removed any remote access to the data through the ransomware. The CE provided breach notification to the media, affected patients and HHS.  OCR obtained documented assurances that the CE implemented the corrective actions listed above."
505,Maryland Medical Center/Dr. Morrill,MD,Healthcare Provider,10000,12/28/2016,Hacking/IT Incident,Desktop Computer,No,"On November 3, 2016, a cyber-attacker accessed the covered entity’s (CE) practice computer system to deny access to certain portions of its computer system until a ransom was paid.  The CE, Maryland Medical Center, shut down the system and utilized its backup to recover the lost information.  The compromised information consisted of correspondence to patients regarding test results utilizing patient names, date of birth, social security number.  The documents targeted by the virus affected approximately 10,000 individuals.  After the compromise, the CE put the computer system in safe mode, conducted a virus scan, and quarantined and destroyed computer viruses.  The CE confirmed that it closed the system network and password protected the Wi-Fi.  The CE implemented a procedure requiring pre-approval of all electronic devices connected to its systems and requiring a firewall for remote access to the virtual private network (VPN).  The CE sanctioned the employee responsible for the breach and retrained all employees.  OCR reviewed the CE’s current risk assessment and obtained assurances that the CE implemented the corrective actions listed."
506,"Stephen J. Helvie, M.D.",CA,Healthcare Provider,2013,12/22/2016,Theft,Paper/Films,No,
507,ADVANTAGE Health Solutions,IN,Health Plan,2387,12/22/2016,Hacking/IT Incident,Network Server,No,"On December 22, 2016, ADVANTAGE Health Solutions, the covered entity (CE), submitted a Breach Report stating that Summit Reinsurance, a reinsurer for the CE, had experienced a data security event. OCR has reviewed the matter, and based on our review, OCR has determined that no violation of the HIPAA laws occurred."
508,Community Health Plan of Washington,WA,Health Plan,381504,12/21/2016,Hacking/IT Incident,"Network Server, Other",No,"Transactions Application Group, Inc., a business associate (BA) for the covered entity (CE), Community Health Plan of Washington, failed to properly secure a port on a computer network server used for transferring electronic files (a File Transfer Protocol (FTP) server), resulting in an incident of unauthorized access to electronic protected health information (ePHI) maintained at the BA.  The breach affected 381,504 individuals and  included individuals’ names, addresses, dates of birth, social security numbers, and certain coding information related to health care claims. The CE provided breach notification to the affected parties, the media, and HHS, and offered one year of free credit and identity theft monitoring. The CE also implemented additional technical safeguards.  OCR obtained assurances that the CE implemented the corrective actions listed above ."
509,Henry County Health Department,OH,Healthcare Provider,574,12/21/2016,Theft,"Electronic Medical Record, Email, Laptop, Paper/Films",No,"On October 22, 2016, the covered entity (CE), Henry County Health Department learned that a nurse’s laptop computer and some paper records were stolen from her car inside her locked garage. Approximately 575 individuals were affected by the breach of  demographic and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE reprimanded the employee involved in the breach with a record of written warning.  Additionally, the CE issued a policy related to safeguarding laptops taken off premises, encrypted all laptops, workstations, and servers and updated its Privacy and Security Policies.  OCR obtained documented assurances that the CE implemented the corrective action steps noted above.

"
510,Desert Care Family and Sports Medicine,AZ,Healthcare Provider,500,12/20/2016,Hacking/IT Incident,Network Server,No,"In early August of 2016, ransomware infected Desert Care Family and Sports Medicine’s (DCFSM’s) server and encrypted all of the data contained on the server.  DCFSM contacted its IT provider and Data Doctors but was unable to break one of the two encryption variants.  DCFSM was also unable to recover the patient data on the server. DCFSM contacted the Casa Grande Police Department and the FBI to notify them of this incident.  DCFSM is unsure how many individuals were affected by this incident but reported the breach as affecting over 500 individuals in an abundance of caution.  DCFSM provided substitute and media breach notification but did not provide individual breach notification because its server was inaccessible due to the ransomware attack and it could not retrieve its patients’ contact information.  In response to the breach, DCFSM added an off-site backup, retrained all of its employees, and obtained a new server.  DCFSM closed its business on December 20, 2016 and as of January 1, 2017, another business is operating the practice.  OCR provided DCFSM with technical assistance regarding the Security Rule risk analysis and risk management provisions."
511,"Alliant Health Plans, Inc.",GA,Health Plan,1042,12/20/2016,Hacking/IT Incident,Network Server,No,"On December 20, 2016, Alliant Health Plans, Inc., the covered entity (CE), submitted a Breach Report stating that Summit Reinsurance, a reinsurer for the CE, had experienced a data security event. OCR has reviewed the matter, and based on our review, OCR has determined that no violation of the HIPAA laws occurred."
512,Brodhead Dental Center,PA,Healthcare Provider,5872,12/19/2016,Hacking/IT Incident,Desktop Computer,No,"A dentist with the covered entity (CE), Brodhead Dental Center, encountered a suspicious pop-up window on his work computer while he was online making a personal transaction.  There is no indication that any patients’ protected health information (PHI) was accessed as a result of this incident.  Following this incident, the CE adopted encryption technology, improved password security, updated its security plan, and implemented technical safeguards.  It also sanctioning the involved workforce member and improved its policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above."
513,County of Los Angeles Departments of Health and Mental Health,CA,Healthcare Provider,749017,12/16/2016,Hacking/IT Incident,Email,No,
514,Oak Cliff Orthopaedic Associates,TX,Healthcare Provider,1057,12/14/2016,Theft,Paper/Films,No,"On October 17, 2016, the covered entity (CE), Oak Cliff Orthopaedic Associates, received a call from the local police stating that two boxes with protected health information (PHI) pertaining to its patients were recovered from a hotel located in Texas.  The boxes contained patients’ demographic, financial, and clinical information.  The CE filed a police report and retrieved the boxes from the police department the next day.  On Dec. 9, 2016, the CE contracted with a third-party vendor to mail breach notification to the affected individuals.  The CE completed media notification and offered the affected individuals one (1) year of free identity theft protection services.  In addition, it set up a call center to assists individuals with questions.  The CE also improved physical security.  OCR provided technical assistance regarding business associates and obtained documented assurances that the CE implemented the corrective actions noted above."
515,Charles Stamitoles,FL,Healthcare Provider,5600,12/11/2016,Improper Disposal,Paper/Films,No,"On October 12, 2016, Stamitoles Dental Center, the covered entity (CE), unintentionally disposed of boxes of paper medical records in a publicly accessible dumpster, potentially exposing the names, dates of birth, social security numbers, addresses, telephone numbers, clinical information and health insurance information of 4,678 individuals. The paper medical records were retrieved by the CE the following morning. The CE provided timely breach notification to HHS, to affected individuals, on its website and to the media. In response to the breach, the CE retrained its workforce and adopted a new written policy governing the proper destruction and disposal of paper records. OCR obtained assurances that the CE has implemented the corrective actions listed above."
516,Black Hawk College,IL,Health Plan,1000,12/08/2016,Hacking/IT Incident,Network Server,No,"A computer server for the covered entity’s (CE) reinsurer was infected with ransomware from March 12 to August 8, 2016, making protected health information (PHI) accessible.  The PHI included the names, addresses, dates of birth, Social Security numbers, and clinical data pertaining to approximately 1,000 individuals. The CE submitted a breach report to HHS out of caution even though the reinsurer was not a business associate (BA).  The CE provided evidence that a BA was not necessary and the disclosures were permitted under HIPAA for health care operations purposes.  The reinsurer provided breach notification to the affected individuals and the CE sent notice to the media and posted a substitute notice on its website.  The CE also retrained staff and reviewed its BA agreements and its HIPAA policies and procedures.  OCR obtained documentation that the CE implemented the actions listed above.  "
517,"Preventice Services, LLC",TX,Healthcare Provider,6800,12/07/2016,Unauthorized Access/Disclosure,Other,No,"A business associate (BA), Zirmed, Inc., erroneously mailed notices that contained other patients’ names and dates of services due to a programming error by its sub-contractor, Allison Payment Systems (APS).  The breach affected approximately 6,800 individuals.  The CE initially provided breach notification to HHS and affected individuals.  Following the breach, the covered entity (CE), Preventice Services, LLC, worked with the BA and its sub-contractor to correct the programming error and add an additional technical safeguard.  OCR confirmed that appropriate BA agreements were in place prior to the breach, provided technical assistance regarding media notification requirements, and confirmed that the CE completed the required breach notifications, including the posting of substitute notice on its website.  "
518,Meigs County EMS,OH,Healthcare Provider,817,12/05/2016,Hacking/IT Incident,"Desktop Computer, Email, Network Server",No,"On October 6, 2016, the covered entity (CE), Meigs County EMS, reported that it detected a ransomware attack on its computer server, and that the hackers might have acquired patients’ protected health information (PHI). The breach affected approximately 817 individuals, and the types of PHI involved in the breach included demographic, financial, and clinical information. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE implemented physical, administrative and technical safeguards. The CE also performed an audit of its computer network accounts by removing unnecessary or stale accounts. OCR obtained assurances that the CE implemented the corrective actions noted above."
519,CVS Health,RI,Healthcare Provider,626,12/05/2016,Theft,Paper/Films,No,"An individual broke into a CVS Pharmacy in Whiteville, NC during Hurricane Matthew. The thief stole 626 individuals' completed prescriptions. The types of PHI on the prescriptions included names, partial birthdates, addresses, medication names and doses, providers' names, and prescription numbers. The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE assessed the damage and secured the store to prevent any other unauthorized access. OCR reviewed the CE's policies and procedures on uses and disclosure of PHI and safeguarding PHI, and determined that they were in compliance with the Privacy Rule. OCR obtained assurances that the CE implemented the corrective actions noted above."
520,Washington Health System,PA,Healthcare Provider,544,12/02/2016,Theft,Electronic Medical Record,No,"Washington Health System Greene Home care reported that on September 27, 2016, an employee emailed a patient census list to her personal home email account and provided that information to another home health agency, Harmony Home Care (HHC). The list contained the names and addresses of approximately 544 homecare patients. Following the breach, the CE immediately sent Attestations of Destruction and Return of Patient Information letters to HHC and the former employee. The CEO of HHC signed the attestation and returned the patient list indicating that 182 letters were returned as undeliverable. The former employee indicated that she had no copies of the patient list and did not send the list to anyone else.  The CE closed operations on October 30, 2016. The CE provided breach notification to 530 affected individuals and to HHS.  The CE also filed reports with both the Pennsylvania State Police and the Department of Health. OCR obtained assurances that the CE implemented the corrective actions listed."
521,"Seguin Dermatology, Office of Robert J. Magnon, MD",TX,Healthcare Provider,29969,11/30/2016,Hacking/IT Incident,Network Server,No,"An unauthorized user obtained remote access to the computer system of the covered entity (CE), Seguin Dermatology. The protected health information (PHI) potentially affected included the names, addresses, dates of birth, and social security numbers of approximately 29,969 individuals. As a result of the breach, the CE improved safeguards, updated its policies and procedures, and trained its workforce members on better practices to protect PHI.  The CE provided breach notification to HHS, affected individuals, and the media. OCR obtained assurances that the CE implemented the corrective actions listed."
522,"Louisiana Health Cooperative, Inc. in Rehabilitation",LA,Health Plan,8000,11/30/2016,Hacking/IT Incident,Other,No,"OCR opened an investigation of the covered entity (CE), Louisiana Health Cooperative, Inc., after it reported a breach involving its business associate (BA), Summit Reinsurance Services, Inc. The BA discovered ransomware on a server containing the unencrypted electronic protected health information (ePHI) of approximately 8,000 members of the CE. The ePHI included social security numbers, insurance and treatment information, and other demographic information. Upon discovery of the breach, the BA initiated an investigation to determine the nature and extent of the attack as well as to assess the system vulnerabilities.  The CE provided breach notification to HHS and posted substitute notice on its website.  The BA provided breach notification to the affected individuals and the media.  OCR verified that CE had a proper BA agreement in place, which restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
523,Glendale Adventist Medical Center,CA,Healthcare Provider,528,11/28/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No,"A workforce member of the covered entity (CE), Glendale Adventist Medical Center, an Adventist Health facility, inappropriately accessed medical records for several months from the employee’s personal electronic device(s) via a remote connection.  The breach affected 528 individuals’ electronic protected health information (ePHI) and included  patients’ names, addresses, dates of birth, social security numbers, and medical diagnoses. The CE provided  breach notification to affected individuals, the media, and HHS.  Following the breach and in response to OCR’s contact in this matter, the CE sanctioned the employee and revised its sanctions policy.  OCR obtained assurances from the CE that it took the corrective actions noted above.  The CE also reported to OCR that it planned to take measures to increase its administrative and technical safeguards of ePHI.  In this case, the CE’s sanction included termination of employment."
524,CHI Franciscan Health Hospice-Tacoma ,WA,Healthcare Provider,12413,11/28/2016,Theft,Laptop,No,
525,"Young Adult Institute, Inc.",NY,Healthcare Provider,913,11/28/2016,Theft,Other Portable Electronic Device,No,"The covered entity's (CE) former Chief Information Officer instructed a former Assistant IT Director to copy files containing the protected health information (PHI) of 913 clients onto a portable computer drive. Subsequently, the former CIO took the drive with him to his new employer after he was terminated. The types of PHI involved in the breach included names, addresses, dates of birth, social security numbers, Medicaid numbers and diagnoses   The CE provided breach notification to HHS, the affected individuals, and the media.  As a result of OCR’s investigation, the CE revised its procedures with respect to assigning an approval process for access to removable media.  In addition, the CE conducted a risk analysis and established a risk management plan to manage and reduce the risks identified in the risk analysis, including, but not limited to, access to removable drives. As a result of OCR's investigation it is expected to implement technical security measures to guard against unauthorized access to ePHI, and review and revise its policies and procedures and training materials regarding the Security Rule. Additionally, the CE is expected to execute HIPAA-compliant business associate agreements with all existing business associates by September 1, 2017."
526,New Mexico Heart Institute,NM,Healthcare Provider,4185,11/23/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,"Ambucor Health Solutions, the business associate (BA) of the covered entity (CE), New Mexico Heart Institute, recovered a portable electronic device (a “thumb” drive) from a former employee that contained the protected health information (PHI) for 4,185 of the CE’s patients.  The BA informed the CE that there was no indication that  the PHI had been misused.  The CE provided breach notification to affected individuals, the media, and HHS.  Out of an abundance of caution, the BA offered affected individuals one year of identity protection services and, if necessary, related recovery services and $1 million of identity theft insurance at no cost.  Following the breach, the CE initiated a review and update of its HIPAA security processes.  OCR obtained assurances that the CE implemented the corrective actions noted above.  The CE also confirmed that the employee who was responsible for this incident no longer works for or has access to its facility."
527,Akron General Medical Center,OH,Healthcare Provider,730,11/23/2016,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,"The business associate (BA), Ambucor Health Solutions, filed a separate breach report for an incident also reported by this covered entity, (CE), Akron General Medical Center.  OCR obtained a copy of the BA agreement between this CE and BA and a copy of the breach notification letter sent to the affected individuals.  This case has been consolidated into the other review of the BA."
528,Berkshire Medical Center,MA,Healthcare Provider,1745,11/23/2016,Unauthorized Access/Disclosure,"Email, Other Portable Electronic Device",No,"A former employee of a business associate (BA), Ambucor Health Solutions, stole the protected health information (PHI) of the covered entity's (CE) patients that was contained in a mobile computer drive. The types of PHI involved in the breach included clinical and demographic information such as patients' names, dates of birth, diagnoses, and treatment, and affected1,745 individuals. OCR reviewed the CE's BA agreement and determined that it is compliance with the Privacy Rule.  OCR obtained assurances that individuals affected by this breach were notified in accordance with the Breach Notification Rule.  "
529,"LCS Westminster Partnership IV, LLP d/b/a Sagewood",AZ,Healthcare Provider,863,11/22/2016,Hacking/IT Incident,"Email, Laptop, Network Server",No,"An employee of the covered entity (CE), LCS Westminster Partnership IV, LLP d/b/a Sagewood, opened an email that appeared to be an invoice directed to the CE that was actually a Locky variant ransomware attack.  The incident affected approximately 863 individuals.  The types of protected health information (PHI) involved in the incident included names, addresses, dates of birth, some social security numbers, claims information, billing codes, and clinical information.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Following the breach, which the employee immediately reported to the CE’s information technology services, the CE contained and eliminated the ransomware threat within an hour and verified that no files were missing following the attack.  As a result of this incident, the CE upgraded its anti-virus software to better detect new malware threats, and conducted a risk analysis to assess threats to electronic PHI.  As a result of OCR’s investigation, OCR obtained written assurances that the CE will update its policies and procedures to require regular review of information system activity."
530,"Stony Brook Internists, University Faculty Practice Corporation (UFPC)",NY,Healthcare Provider,1878,11/22/2016,Theft,"Email, Other Portable Electronic Device",No,"On May 19, 2016 the business associate (BA), Ambucor Health Solutions, notified the covered entity (CE), Stony Brook Internists, University Faculty Practice Corporation (a member of the Stony Brook Organized Health Care Arrangement), of an investigation into possible breach activities by a former employee affecting the protected health information (PHI) of 55 of the CE’s patients, including demographic and clinical information.  On November 18, 2016 the BA notified the CE that an additional 1,823 patients were affected by the breach.  The CE and BA both provided breach notification to HHS.  The investigation of this breach has been consolidated into an existing review of the BA.  As of this submission, the BA has not reported misuse of the breached PHI.  OCR obtained and reviewed a copy of the BA agreement between this CE and BA.

"
531,"Camas Center Clinic, Kalispel Tribe of Indians ",WA,Healthcare Provider,504,11/21/2016,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films",No,"An employee of the covered entity (CE), the Kalispel Tribe of Indians, Camas Center Clinic, gave an “on-call” temporary administrative assistant at the CE’s facility, who had not yet been trained in HIPAA,  the employee’s  personal login and password information.  The assistant used the login/password information to access electronic protected health information (ePHI) on the employee’s computer.  When the information technology department  learned of this impermissible access, it quickly disabled the employee’s login information, as the ePHI had been shared in violation of the CE’s  policies.  In addition to ePHI, the assistant also accessed paper PHI.   The breach affected approximately 504 individuals and the types of PHI and ePHI involved included demographic, financial, and clinical information.   The CE provided breach notification to the affected individuals, the media, and HHS.  The CE sanctioned the employee pursuant to its policies for impermissibly sharing the login/password information and retrained its workforce members on HIPAA.  OCR obtained assurances that the CE implemented the corrective action measures described. "
532,"North Texas Heart Center, P.A.",TX,Healthcare Provider,4210,11/21/2016,Theft,Other Portable Electronic Device,No,"OCR opened an investigation of the covered entity (CE), North Texas Heart Center, after it reported, on behalf of its business associate (BA), Ambucor, that law enforcement discovered mobile computer drives containing the electronic protected health information (ePHI) of 4,210 individuals in connection with the activities of a former employee.  The ePHI included patients’ names, dates of birth, addresses, social security numbers, laboratory results, and other treatment information.  Upon discovering the breach, the BA worked with federal law enforcement to recover the mobile devices.  OCR obtained a draft copy of the BA's breach notification to individuals and the media.  The BA offered one year of free credit monitoring services to affected individuals.  OCR initiated a separate investigation of the BA."
533,OptumHealth New Mexico,MN,Health Plan,2006,11/18/2016,Loss,Other Portable Electronic Device,No,"On September 26, 2016, the covered entity (CE), Optum, learned that an unencrypted portable computer drive (a ""USB flash drive"") containing the electronic protected health information (ePHI) of approximately 2,006 individuals had been lost or accidentally destroyed within the U.S. Postal Service System after being mailed on September 16, 2016 by Optum’s business associate (BA) Rothstein, Donatelli, Hughes, Dahlstrom, Schoenburg & Bienvenu (a law firm). The ePHI consisted of names, addresses, dates of birth, providers' names, diagnoses, plan ID, as well as partial or full social security numbers for 169 of the individuals.  The CE's BA Agreement with the law firm is compliant with the Privacy Rule. As of January 1, 2017, the CE ceased engaging new business with the BA.  OCR obtained documentation of this corrective action. OCR is opening a separate review of the BA."
534,Pinellas County Board of County Commissioners,FL,Health Plan,2800,11/18/2016,Unauthorized Access/Disclosure,Email,No,"On September 21, 2016, the covered entity (CE), Pinellas County Board of County Commissioners, discovered that it had posted a file containing protected health information (PHI) on an external website accessible by potential vendors. The file contained the dates of birth, employee identification numbers, and dental plan coverage elections of 2,757  individuals.  The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE altered its procedure for soliciting bids from vendors such that PHI is no longer involved. In addition, the CE retrained its workforce and sanctioned the responsible employee, who subsequently resigned from his employment with the CE. OCR obtained assurances that the CE implemented the corrective actions listed above. "
535,Washington National Insurance Company,IN,Health Plan,1458,11/18/2016,Theft,Paper/Films,No,
536,"Luque Chiropractic, Inc. ",CA,Healthcare Provider,1341,11/17/2016,Unauthorized Access/Disclosure,Network Server,No,"On September 18, 2016, a business associate (BA), EMR4all Inc., notified the covered entity (CE), Luque Chiropractic, Inc., that the BA’s Amazon ""S3"" storage account was subject to unauthorized access.   The breach affected the protected health information (PHI)  of approximately 1,341 individuals and included patients’ names, dates of birth, treatment locations, treatment dates, social security numbers, driver’s license numbers, and diagnoses.  The CE provided breach notification to affected individuals, the media, and HHS.  The CE also provided free credit monitoring  for affected individuals.  The CE terminated its business relationship with the BA and revised its HIPAA policies and procedures.  OCR provided substantial technical assistance to the CE and obtained assurances that the CE implemented the corrective actions noted above."
537,The Biomechanics LLC,AZ,Healthcare Provider,1049,11/16/2016,Hacking/IT Incident,Other,No,"A security researcher accessed the covered entity's electronic protected health information (ePHI) due to a vulnerability in a business associate's (BA) data storage system.  The researcher reportedly did not intend to use or disclose the information. The breach affected 1,049 individuals and involved in the breach included names, addresses, birthdates, driver's license numbers, social security numbers, and clinical information such as diagnoses, lab results, and medications. The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the BA returned the ePHI to the covered entity. The BA was closing its business at the time of the breach and is now out of business.  OCR obtained a copy of the CE's BA agreement with this BA.  As a result of OCR’s investigation the CE increased its awareness of its responsibilities with respect to its BAs.

"
